cod_material,nr_qtd_estoque,ds_classe_estoque,ds_tipo_estoque
4f93c36fa5e5faeda066099e23fcc3377099f9648f5a4d1cf6218fba9f6f01cb,460.0,Utilização Livre,Produto em Elaboração
c9ab9402103708f3a0a56432c19074dd94129fca194f2b814eeb660bb85d6cc4,1.0,Utilização Livre,Matéria Prima
74e6cfa05551ec4477e9e9d7598f0554be29ec7a6f159ad59662112f8b15eba4,2.0,Utilização Livre,Matéria Prima
6bc85d63d427cdc2b55bf2342e858fa73ff68f0369cec8fe758b58a18079fbfc,9702.0,Utilização Livre,Matéria Prima
705ae1f7d44dac86894e959b4fa41647775454311d98282bac3de0ac3f260e4a,7.0,Utilização Livre,Matéria Prima
c79a2d1cd36aa6ac7178c9e2266869a9afe6ad877d7f60a9c6fb2b9d5f919c5f,4.0,Utilização Livre,Matéria Prima
5ccaf3166b3876a4ee75ab175a992284ec74adaee7e1043d242ba8c060d18340,59.0,Utilização Livre,Matéria Prima
613ffc6de42345f702a96bf520116a601ee6a27eb1cfd3b11d804ef4357bf4ac,286.674,Utilização Livre,Matéria Prima
57c056d5fbe0eeb72385ffd4d334b5da0809c7c1a81aeaaee0d8b6789a28be5d,101.334,Utilização Livre,Sucata
47220d4ff55b80b2325767bb7031e73a0d04d242b77d7727920c6aa5b27f7460,579.0,Utilização Livre,Matéria Prima
80d4a0e0c4b8704dbb213972bdddccdcbd28d11a876cc0e99856c265cd7c85ad,2.0,Utilização Livre,Matéria Prima
bdbafc35653667ce23d25b117187f5569494fc0f33981e7537b6858e859ca75f,1.0,Utilização Livre,Matéria Prima
c6c3a840a13d43d8f6bdc51a5280a37bfc641dec9e5c49c133cd92f42dcecb89,32.0,MTO,Produto em Elaboração
a82cba16ed8bcc0273ffb21a9e0461afb4c67527e57bc33f83bbd4019b0bafa5,3.0,Utilização Livre,Matéria Prima
5314c73be23e700540a5038f0e9ef75be7fdfb9a41c933d8d8963e5b2b0a4c3f,2.0,Utilização Livre,Matéria Prima
ce77dc1305042ea5f1188a203bb8679f6a4ec2770f6d596b4f83eed9cfcf633d,1.0,Utilização Livre,Matéria Prima
6dd416601999ca72e2f8c770c6e19a07d7117d965537d531149c8c37d7067179,2.0,Utilização Livre,Produto em Elaboração
9de537eb1667276f61c649b3bb652980453c4fa95e2a215fcf5e51a2b629b00d,1100.0,Utilização Livre,Produto em Elaboração
